filename,"[(0.0, 0.0), (0.0, 0.25), (0.0, 0.5), (0.0, 0.75), (0.0, 1.0), (0.25, 0.0), (0.25, 0.25), (0.25, 0.5), (0.25, 0.75), (0.25, 1.0), (0.5, 0.0), (0.5, 0.25), (0.5, 0.5), (0.5, 0.75), (0.5, 1.0), (0.75, 0.0), (0.75, 0.25), (0.75, 0.5), (0.75, 0.75), (0.75, 1.0), (1.0, 0.0), (1.0, 0.25), (1.0, 0.5), (1.0, 0.75), (1.0, 1.0)]"
These-197.png,"[[28, 153], [40, 174], [55, 198], [70, 223], [84, 246], [60, 134], [72, 155], [87, 178], [102, 201], [116, 225], [91, 115], [105, 134], [120, 157], [135, 180], [149, 203], [124, 95], [137, 115], [152, 136], [167, 159], [182, 181], [152, 78], [166, 97], [181, 118], [197, 139], [204, 163]]"
Watered-Soul-Blog-Book-070.png,"[[61, 62], [56, 91], [51, 123], [46, 155], [41, 186], [104, 72], [99, 99], [94, 128], [90, 157], [85, 186], [141, 81], [136, 105], [133, 132], [129, 159], [124, 186], [170, 88], [168, 111], [165, 136], [162, 161], [159, 185], [197, 95], [195, 116], [192, 139], [189, 163], [186, 185]]"
030131053-053.png,"[[72, 85], [61, 110], [51, 135], [41, 161], [32, 184], [101, 96], [92, 119], [82, 144], [72, 167], [31, 183], [130, 107], [122, 129], [112, 152], [102, 174], [93, 194], [157, 117], [148, 137], [138, 158], [129, 179], [120, 199], [179, 125], [179, 124], [161, 164], [152, 183], [143, 202]]"
030131053-074.png,"[[86, 145], [89, 169], [92, 196], [95, 222], [98, 246], [115, 141], [117, 168], [120, 195], [123, 223], [127, 249], [148, 138], [151, 166], [154, 195], [157, 224], [160, 251], [187, 135], [190, 164], [193, 195], [196, 226], [197, 255], [229, 131], [232, 162], [235, 194], [237, 228], [240, 258]]"
03M31-09.png,"[[120, 36], [104, 64], [88, 94], [71, 125], [54, 157], [155, 41], [142, 71], [125, 103], [108, 137], [89, 171], [205, 48], [188, 79], [171, 114], [153, 151], [134, 188], [255, 55], [240, 90], [224, 128], [206, 167], [187, 208], [313, 63], [300, 101], [284, 142], [266, 186], [247, 231]]"
juliette_leloup-287.png,"[[4, 0], [11, 0], [0, 120], [0, 182], [0, 245], [75, 22], [50, 83], [26, 145], [2, 204], [0, 269], [160, 50], [133, 117], [104, 182], [77, 246], [50, 306], [263, 84], [230, 156], [198, 227], [167, 296], [129, 346], [286, 109], [286, 191], [286, 274], [277, 346], [200, 346]]"
2010-VALERY-THESE-222.png,"[[17, 125], [27, 169], [37, 213], [46, 254], [56, 291], [84, 115], [90, 159], [98, 202], [106, 243], [113, 280], [147, 106], [153, 149], [159, 192], [165, 232], [169, 269], [210, 97], [214, 140], [218, 182], [222, 222], [222, 259], [269, 89], [271, 131], [274, 171], [276, 211], [278, 248]]"
celdran_2031-040.png,"[[91, 114], [99, 128], [109, 145], [119, 162], [128, 176], [107, 102], [116, 117], [126, 134], [137, 151], [147, 167], [127, 87], [137, 103], [148, 121], [159, 139], [168, 157], [150, 70], [160, 87], [172, 106], [183, 126], [194, 144], [174, 52], [185, 71], [197, 90], [210, 111], [222, 130]]"
these-160.png,"[[0, 86], [0, 154], [0, 222], [0, 289], [0, 355], [35, 79], [46, 143], [57, 209], [68, 275], [78, 340], [128, 65], [139, 128], [150, 193], [161, 258], [171, 322], [219, 52], [230, 114], [241, 178], [252, 242], [260, 305], [286, 42], [283, 41], [286, 166], [286, 230], [286, 300]]"
